w,0.220908
w,0.224858
w,0.22876
w,0.232754
w,0.236347
w,0.239944
w,0.243542
w,0.247392
w,0.252036
w,0.257401
w,0.259459
w,0.261633
w,0.265348
w,0.268953
w,0.272619
w,0.276378
w,0.280137
w,0.283687
w,0.287212
w,0.291694
w,0.295756
w,0.299371
w,0.303275
w,0.30722
w,0.31117
w,0.314749
w,0.318662
w,0.322583
w,0.326595
w,0.330466
w,0.334074
w,0.337621
w,0.341254
w,0.344897
w,0.348744
w,0.352771
w,0.356963
w,0.360606
w,0.364341
w,0.368221
w,0.371927
w,0.375455
a,0.378836
w,0.38897
a,0.392662
d,0.399224
a,0.405476
d,0.411047
a,0.418489
d,0.422944
a,0.428481
exclam,0.438504
